Zmienna;Typ informacji;Jednostka terytorialna;PKD - wybrane sekcje i działy 1 (KG);Szereg czasowy;Wartość;Flaga
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M06;12,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M07;11,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M08;9,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M09;8,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M10;7,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M11;10,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M12;11,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M01;11,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M02;15,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M03;19,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M04;17,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M05;16,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M06;14,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M07;12,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M08;10,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M09;8,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M10;2,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M11;1,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M12;-0,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M01;16,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M02;16,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M03;18,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M04;16,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M05;15,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M06;13,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M07;12,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M08;9,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M09;8,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M10;4,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M11;6,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M12;5,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M01;3,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M02;0,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M03;0,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M04;3,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M05;2,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M06;3,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M07;5,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M08;4,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M09;3,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M10;3,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M11;5,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M12;5,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M01;2,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M02;8,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M03;12,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M04;15,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M05;13,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M06;11,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M07;9,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M08;10,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M09;8,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M10;5,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M11;3,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M12;1,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M01;2,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M02;4,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M03;6,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M04;9,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M05;8,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M06;7,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M07;7,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M08;7,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M09;6,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M10;4,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M11;4,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2017 M12;3,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M01;3,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M02;-1,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M03;0,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M04;0,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M05;1,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M06;2,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M07;1,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M08;4,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M09;2,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M10;2,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M11;0,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M12;1,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M01;-1,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M02;7,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M03;9,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M04;10,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M05;8,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M06;7,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M07;4,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M08;5,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M09;3,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M10;-0,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M11;-3,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M12;-6,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M01;0,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M02;3,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M03;4,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M04;5,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M05;5,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M06;5,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M07;3,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M08;4,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M09;3,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M10;1,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M11;-1,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2016 M12;-2,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M06;3,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M07;3,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M08;4,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M09;2,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M10;4,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M11;4,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M12;2,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M06;8,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M07;7,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M08;9,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M09;4,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M10;1,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M11;0,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M12;-4,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M06;6,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M07;5,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M08;7,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M09;3,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M10;3,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M11;2,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2015 M12;-1,1;(nd)
